State,County,County Median Household Income,State Median Household Income
Alabama,Autauga,62660,54943
Alabama,Baldwin,64346,54943
Alabama,Barbour,36422,54943
Alabama,Bibb,54277,54943
Alabama,Blount,52830,54943
Alabama,Bullock,29063,54943
Alabama,Butler,45236,54943
Alabama,Calhoun,50977,54943
Alabama,Chambers,47232,54943
Alabama,Cherokee,43475,54943
Alabama,Chilton,56243,54943
Alabama,Choctaw,38581,54943
Alabama,Clarke,44108,54943
Alabama,Clay,45163,54943
Alabama,Cleburne,48333,54943
Alabama,Coffee,59034,54943
Alabama,Colbert,52017,54943
Alabama,Conecuh,37986,54943
Alabama,Coosa,50013,54943
Alabama,Covington,46186,54943
Alabama,Crenshaw,43103,54943
Alabama,Cullman,52690,54943
Alabama,Dale,50052,54943
Alabama,Dallas,34957,54943
Alabama,DeKalb,44037,54943
Alabama,Elmore,67597,54943
Alabama,Escambia,38464,54943
Alabama,Etowah,46984,54943
Alabama,Fayette,43960,54943
Alabama,Franklin,43633,54943
Alabama,Geneva,43581,54943
Alabama,Greene,28826,54943
Alabama,Hale,32294,54943
Alabama,Henry,55870,54943
Alabama,Houston,50222,54943
Alabama,Jackson,43785,54943
Alabama,Jefferson,58330,54943
Alabama,Lamar,43324,54943
Alabama,Lauderdale,50000,54943
Alabama,Lawrence,51712,54943
Alabama,Lee,57191,54943
Alabama,Limestone,70736,54943
Alabama,Lowndes,31961,54943
Alabama,Macon,39303,54943
Alabama,Madison,71153,54943
Alabama,Marengo,35379,54943
Alabama,Marion,44551,54943
Alabama,Marshall,52938,54943
Alabama,Mobile,51169,54943
Alabama,Monroe,32631,54943
Alabama,Montgomery,52511,54943
Alabama,Morgan,56128,54943
Alabama,Perry,27057,54943
Alabama,Pickens,43389,54943
Alabama,Pike,40106,54943
Alabama,Randolph,47081,54943
Alabama,Russell,44065,54943
Alabama,St. Clair,65070,54943
Alabama,Shelby,82592,54943
Alabama,Sumter,27099,54943
Alabama,Talladega,45400,54943
Alabama,Tallapoosa,50652,54943
Alabama,Tuscaloosa,57508,54943
Alabama,Walker,47442,54943
Alabama,Washington,44512,54943
Alabama,Wilcox,36385,54943
Alabama,Winston,46096,54943
Alaska,Aleutians East Borough,72258,80287
Alaska,Aleutians West Census Area,90708,80287
Alaska,Anchorage Municipality,88871,80287
Alaska,Bethel Census Area,57460,80287
Alaska,Bristol Bay Borough,81563,80287
Alaska,Chugach Census Area,87868,80287
Alaska,Copper River Census Area,67439,80287
Alaska,Denali Borough,78750,80287
Alaska,Dillingham Census Area,62115,80287
Alaska,Fairbanks North Star Borough,78321,80287
Alaska,Haines Borough,63355,80287
Alaska,Hoonah-Angoon Census Area,55990,80287
Alaska,Juneau City and Borough,90126,80287
Alaska,Kenai Peninsula Borough,70609,80287
Alaska,Ketchikan Gateway Borough,77820,80287
Alaska,Kodiak Island Borough,83765,80287
Alaska,Kusilvak Census Area,37975,80287
Alaska,Lake and Peninsula Borough,49688,80287
Alaska,Matanuska-Susitna Borough,79300,80287
Alaska,Nome Census Area,63977,80287
Alaska,North Slope Borough,83992,80287
Alaska,Northwest Arctic Borough,68654,80287
Alaska,Petersburg Borough,71696,80287
Alaska,Prince of Wales-Hyder Census Area,55857,80287
Alaska,Sitka City and Borough,82083,80287
Alaska,Skagway Municipality,75000,80287
Alaska,Southeast Fairbanks Census Area,68634,80287
Alaska,Wrangell City and Borough,54891,80287
Alaska,Yakutat City and Borough,72083,80287
Alaska,Yukon-Koyukuk Census Area,43405,80287
Arizona,Apache,34788,65913
Arizona,Cochise,55077,65913
Arizona,Coconino,61888,65913
Arizona,Gila,51406,65913
Arizona,Graham,57105,65913
Arizona,Greenlee,67723,65913
Arizona,La Paz,39732,65913
Arizona,Maricopa,72944,65913
Arizona,Mohave,49738,65913
Arizona,Navajo,46126,65913
Arizona,Pima,59215,65913
Arizona,Pinal,65488,65913
Arizona,Santa Cruz,45089,65913
Arizona,Yavapai,56170,65913
Arizona,Yuma,52563,65913
Arkansas,Arkansas,55022,52123
Arkansas,Ashley,42683,52123
Arkansas,Baxter,43530,52123
Arkansas,Benton,76887,52123
Arkansas,Boone,48625,52123
Arkansas,Bradley,41972,52123
Arkansas,Calhoun,55904,52123
Arkansas,Carroll,53366,52123
Arkansas,Chicot,33770,52123
Arkansas,Clark,45351,52123
Arkansas,Clay,39817,52123
Arkansas,Cleburne,48400,52123
Arkansas,Cleveland,48183,52123
Arkansas,Columbia,41115,52123
Arkansas,Conway,45812,52123
Arkansas,Craighead,51788,52123
Arkansas,Crawford,52057,52123
Arkansas,Crittenden,46452,52123
Arkansas,Cross,45247,52123
Arkansas,Dallas,34337,52123
Arkansas,Desha,33295,52123
Arkansas,Drew,42891,52123
Arkansas,Faulkner,54845,52123
Arkansas,Franklin,42128,52123
Arkansas,Fulton,36950,52123
Arkansas,Garland,49985,52123
Arkansas,Grant,62479,52123
Arkansas,Greene,51367,52123
Arkansas,Hempstead,43592,52123
Arkansas,Hot Spring,46724,52123
Arkansas,Howard,39558,52123
Arkansas,Independence,50028,52123
Arkansas,Izard,45318,52123
Arkansas,Jackson,39154,52123
Arkansas,Jefferson,43720,52123
Arkansas,Johnson,40628,52123
Arkansas,Lafayette,36083,52123
Arkansas,Lawrence,40746,52123
Arkansas,Lee,29082,52123
Arkansas,Lincoln,49474,52123
Arkansas,Little River,57614,52123
Arkansas,Logan,46570,52123
Arkansas,Lonoke,62561,52123
Arkansas,Madison,47862,52123
Arkansas,Marion,41038,52123
Arkansas,Miller,46610,52123
Arkansas,Mississippi,45740,52123
Arkansas,Monroe,41667,52123
Arkansas,Montgomery,41032,52123
Arkansas,Nevada,42670,52123
Arkansas,Newton,42817,52123
Arkansas,Ouachita,43338,52123
Arkansas,Perry,47500,52123
Arkansas,Phillips,32235,52123
Arkansas,Pike,46672,52123
Arkansas,Poinsett,42854,52123
Arkansas,Polk,43444,52123
Arkansas,Pope,47322,52123
Arkansas,Prairie,47335,52123
Arkansas,Pulaski,55235,52123
Arkansas,Randolph,42225,52123
Arkansas,St. Francis,34981,52123
Arkansas,Saline,68605,52123
Arkansas,Scott,43577,52123
Arkansas,Searcy,39627,52123
Arkansas,Sebastian,50226,52123
Arkansas,Sevier,49470,52123
Arkansas,Sharp,37361,52123
Arkansas,Stone,32813,52123
Arkansas,Union,46444,52123
Arkansas,Van Buren,40763,52123
Arkansas,Washington,56610,52123
Arkansas,White,46345,52123
Arkansas,Woodruff,43717,52123
Arkansas,Yell,51070,52123
California,Alameda,112017,84097
California,Alpine,96000,84097
California,Amador,69955,84097
California,Butte,59863,84097
California,Calaveras,70119,84097
California,Colusa,61861,84097
California,Contra Costa,110455,84097
