State,Median Household Income,Total Households,Households with Internet,With Desktop or Laptop,Only Smartphone,No Computer,Year,Percent With Internet,Percent With Any Computer,Percent With Desktop or Laptop,Percent Only Smartphone,Graduation Percent
Alabama,54943,1902983,1568246,1706822,6602,1543096,2021,82.41,18.91,89.69192053,0.346929006,91
Alaska,80287,260561,230942,248873,560,229382,2021,88.63,11.97,95.51429416,0.214920882,78
Arizona,65913,2683557,2373235,2533201,6357,2350265,2021,88.44,12.42,94.39713783,0.236887087,76
Arkansas,52123,1158460,926644,1040511,2682,914892,2021,79.99,21.03,89.81846589,0.231514252,88
California,84097,13217586,11972473,12586778,21255,11869133,2021,90.58,10.2,95.22750977,0.160808487,84
Colorado,80184,2227932,2030938,2131145,4998,2013408,2021,91.16,9.63,95.65574712,0.224333597,82
Connecticut,83572,1397324,1245301,1302764,3039,1231908,2021,89.12,11.84,93.23277923,0.21748714,90
Delaware,72724,381097,340926,359187,771,337389,2021,89.46,11.47,94.25080754,0.202310698,81
District of Columbia,93547,310104,270614,292737,259,268271,2021,87.27,13.49,94.39962077,0.083520367,75
Florida,61777,8157420,7130369,7693785,13125,7062888,2021,87.41,13.42,94.31640151,0.16089646,90
Georgia,65030,3885371,3355363,3619549,4924,3319022,2021,86.36,14.58,93.15838822,0.126731784,84
Hawaii,88005,478413,425392,447987,1087,421017,2021,88.92,12,93.64022299,0.227209545,86
Idaho,63377,657101,581034,619106,2406,575140,2021,88.42,12.47,94.21778387,0.366153757,80
Illinois,72563,4930255,4296666,4567827,10647,4246804,2021,87.15,13.86,92.6488995,0.215952319,
Indiana,61944,2622601,2242469,2404899,7211,2214092,2021,85.51,15.58,91.69900416,0.274956046,88
Iowa,65429,1275893,1088445,1169965,5068,1074087,2021,85.31,15.82,91.69773641,0.397211992,90
Kansas,64521,1139738,988695,1062203,2513,977722,2021,86.75,14.22,93.19712074,0.22048927,88
Kentucky,55454,1748475,1466763,1576610,4047,1445335,2021,83.89,17.34,90.17057722,0.231458843,90
Louisiana,53571,1748688,1421966,1565982,2782,1400806,2021,81.32,19.89,89.551824,0.159090701,82
Maine,63182,571064,494222,525832,2885,487456,2021,86.54,14.64,92.07934662,0.505197316,86
Maryland,91431,2294270,2062953,2169790,3885,2043766,2021,89.92,10.92,94.57430904,0.169334908,87
Massachusetts,89026,2714448,2436099,2538022,4335,2409311,2021,89.75,11.24,93.50048334,0.159700978,90
Michigan,63202,3976729,3446973,3675302,9217,3402519,2021,86.68,14.44,92.42022778,0.2317734,81
Minnesota,77706,2229100,1982919,2091392,7487,1960828,2021,88.96,12.03,93.8222601,0.335875465,83
Mississippi,49111,1108670,867205,979889,2381,852972,2021,78.22,23.06,88.38419007,0.214761832,88
Missouri,61043,2433819,2077498,2240530,5944,2051757,2021,85.36,15.7,92.05820153,0.244225228,89
Montana,60560,436481,374609,400534,2628,368752,2021,85.82,15.52,91.76436088,0.602088063,86
Nebraska,66644,766887,671946,711363,2653,664018,2021,87.62,13.41,92.7598199,0.345944057,88
Nevada,65686,1141952,999218,1081432,1956,990168,2021,87.5,13.29,94.70030264,0.171285658,81
New Hampshire,83449,540498,488444,510443,1510,483452,2021,90.37,10.55,94.43938738,0.279371987,87
New Jersey,89703,3397156,3042680,3189414,5687,3010479,2021,89.57,11.38,93.88482601,0.167404735,89
New Mexico,54020,797596,641427,715435,2757,632143,2021,80.42,20.74,89.69892026,0.345663719,77
New York,75157,7530150,6560672,6941225,15070,6470003,2021,87.13,14.08,92.17910666,0.200128815,85
North Carolina,60516,4034684,3454393,3712354,7409,3413691,2021,85.62,15.39,92.01102242,0.183632721,87
North Dakota,68131,316542,267314,291910,590,264358,2021,84.45,16.49,92.2184102,0.186389168,87
Ohio,61938,4754161,4113493,4368120,11559,4061254,2021,86.52,14.57,91.87993423,0.243134383,85
Oklahoma,56956,1503868,1265814,1383956,2906,1251029,2021,84.17,16.81,92.02642785,0.193235045,80
Oregon,70084,1658091,1488951,1575572,4875,1474915,2021,89.8,11.05,95.02325264,0.294012814,81
Puerto Rico,21967,1196790,829258,908230,14007,778643,2021,69.29,34.94,75.88883597,1.170380769,76
Pennsylvania,67587,5147783,4433418,4678319,17286,4370954,2021,86.12,15.09,90.88026826,0.33579504,87
Rhode Island,74489,426769,377212,392962,772,372604,2021,88.39,12.69,92.07838433,0.180894114,84
South Carolina,58234,1976447,1648687,1811506,3363,1629620,2021,83.42,17.55,91.65467124,0.170153816,83
South Dakota,63920,345779,295553,316345,878,292103,2021,85.47,15.52,91.48762649,0.253919411,83
Tennessee,58516,2664791,2237708,2421491,4325,2209845,2021,83.97,17.07,90.86982807,0.162301659,89
Texas,67321,10239341,8916940,9617538,13585,8829731,2021,87.09,13.77,93.92731427,0.132674554,90
Utah,79133,1033651,941272,999866,2321,934684,2021,91.06,9.57,96.73148867,0.224543874,88
Vermont,67674,262514,223716,242354,1545,219988,2021,85.22,16.2,92.32040958,0.58854004,83
Virginia,80615,3248528,2852851,3032703,6228,2824285,2021,87.82,13.06,93.35622165,0.191717603,90
Washington,82400,2931841,2683952,2803456,6258,2662398,2021,91.54,9.19,95.62101083,0.213449502,
West Virginia,50884,711352,577074,622923,2236,565270,2021,81.12,20.54,87.56888292,0.31433102,91
Wisconsin,67080,2401818,2086167,2208958,9820,2059520,2021,86.86,14.25,91.9702492,0.408856958,90
Wyoming,68002,230653,201811,216592,480,199465,2021,87.5,13.52,93.90382956,0.208104815,83
